,Original,Descriptive,Situational,Atmospheric,Metadata,Contextual
36,"The low quality recording features a didgeridoo melody played over wooden percussion and shimmering shaker. There are some crowd chattering noises in the background. It is reverberant, due to the fact that it was performed in a medium size room, uptempo and the recording is noisy.","This composition contains a futuristic synth sequence along with pulsating electronic beats and a metallic rattler, accompanied by the quiet hum of a spaceship in flight and resonant acoustics. It has a brisk tempo but the recording is crystal clear.",None,None,None,None
37,A drone sound is playing in the lower to mid range as an intro before the song starts with a high pitched bell sound with a very long release time and acoustic drums that sounds like playing behind a closed door. This song may be playing in a club.,"A soft melody is playing, coupled with country guitar that sounds like playing behind a closed door. The song may be playing in a club.",A drone sound is playing in the lower to mid range as an intro before the song starts with a high pitched bell sound with a very long release time and acoustic drums that sounds like playing behind a closed door. The song may be serenading on a serene mountainside at dawn.,None,None,None
38,"This song contains various orchestral instruments as a bass, plucked strings, timpani and snare hits. There are background noises, foregroundnoises as pitched voices, a river flowing and birds chirping. This music sounds like it belongs to an old videogame.","This composition contains synthesized beats with heavy bass, electronic blips, drum machine rhythms, and synthetic cymbal crashes accompanying autotuned vocals in the background while the melody overpowers the environment. The song sounds like it was made for a futuristic journey. This song may be playing in an empty roller skating rink. It feels almost like an epic soundtrack from an 80s action film, with a synthwave genre.",None,None,None,"This song contains various orchestral instruments as a bass, plucked strings, timpani and snare hits. There are background noises, foregroundnoises as pitched voices, a river flowing and birds chirping. This music sounds like it belongs to 2000's music video."
39,This is a space disco music piece. It is a funky version of the Star Wars movie theme. There is a lively combination of the strings and the brass sections playing the main melody while a groovy bass guitar is playing alongside them. The rhythmic background is composed of a disco type acoustic drum beat. Robotic sounds akin to the ones that can be heard in the movie are added in the music. The atmosphere is unique and danceable. This piece could be used in retro-themed parties. It could also be playing in the background at a Star Wars themed event.,"The captivating piece of medieval folk music unfolds with a solemn version of the Star Wars movie theme played by an eerie mix of ethereal flutes and haunting choirs, underlined by an ominous bass guitar and a chaotic punk rock-style drum beat, accompanied by mystical chimes. he atmosphere is unique and danceable. This piece could be used in retro-themed parties. It could also be playing in the background at a Star Wars themed event.",This is a space disco music piece. It is a funky version of the Star Wars movie theme. There is a lively combination of the strings and the brass sections playing the main melody while a groovy bass guitar is playing alongside them. The rhythmic background is composed of a disco type acoustic drum beat. Robotic sounds akin to the ones that can be heard in the movie are added in the music. The atmosphere is unique and danceable. This piece could be used at a Church wedding. It could also be playing during the eulogy at a funeral.,This is a space disco music piece. It is a funky version of the Star Wars movie theme. There is a lively combination of the strings and the brass sections playing the main melody while a groovy bass guitar is playing alongside them. The rhythmic background is composed of a disco type acoustic drum beat. Robotic sounds akin to the ones that can be heard in the movie are added in the music. The atmosphere is traditional and mournful. This piece could be used in retro-themed parties. It could also be playing in the background at a Star Wars themed event.,This is a classic jazz music piece. It is a funky version of the Star Wars movie theme. There is a lively combination of the strings and the brass sections playing the main melody while a groovy bass guitar is playing alongside them. The rhythmic background is composed of a disco type acoustic drum beat. Robotic sounds akin to the ones that can be heard in the movie are added in the music. The atmosphere is unique and danceable. This piece could be used in retro-themed parties. It could also be playing in the background at a Star Wars themed event.,None
40,This is a live performance of a movie music piece. The recording has a very poor quality. The saxophone is playing the main tune while the piano can be heard providing a melodic background. The atmosphere is romantic and it is probably a wedding setting.,"The track begins with a warped field recording — distant laughter melting into a reversed xylophone loop. Off-kilter percussion stutters in, never quite falling into a consistent rhythm, as if the beat is being constantly tripped over. A rubbery synth bass slinks around unpredictably, bending in pitch like it’s half-awake or half-drunk. The recording has a very poor quality. The atmosphere is romantic and it is probably a wedding setting.",This is a live performance of a movie music piece. The recording has a very poor quality. The saxophone is playing the main tune while the piano can be heard providing a melodic background. The atmosphere is romantic and it is probably something that would play in a Berlin club.,This is a live performance of a movie music piece. The recording has a very poor quality. The saxophone is playing the main tune while the piano can be heard providing a melodic background. The atmosphere is erotic and edgy and it is probably a wedding setting.,None,None
41,"This music is a lively instrumental. The tempo is fast with an infectious accordion harmony, rhythmic acoustic guitar, violin harmony and keyboard accompaniment. The music is pleasant, happy, cheerful, warm, sprightly, romantic, carefree, upbeat and genial. This music sounds like a movie soundtrack.","The composition features a somber instrumental with a slow tempo and a haunting accordion dissonance alongside a droning electric guitar, a sorrowful violin solo, and a minimalist keyboard descent. The song sounds pleasant, happy, cheerful, warm, sprightly, romantic, carefree, upbeat, and genial. The music sounds like a movie soundtrack.",None,"The composition features a lively instrumental at a fast tempo with an infectious accordion harmony complemented by a rhythmic acoustic guitar, a violin harmony, and a keyboard accompaniment. The song feels eerie, melancholic, gloomy, cold, sedate, nonchalant, pensive, reflective, and distant. The music sounds like a movie soundtrack.",None,"This music is a lively instrumental. The tempo is fast with an infectious accordion harmony, rhythmic acoustic guitar, violin harmony and keyboard accompaniment. The music is pleasant, happy, cheerful, warm, sprightly, romantic, carefree, upbeat and genial. This music sounds like hold music on a customer service line."
42,This audio contains someone playing a fast paced drum groove with a lot of double hits on the kick and tom. The drumming stops and then a male voice starts talking. This may be used for a drum tutorial video.,"The audio contains a slow, ambient drone contrasted by gentle chimes instead of a fast paced drum groove with sparse, delicate taps on the rim instead of double hits on the kick and tom. This might be used for educational purposes.",None,None,None,None
43,"The song is an instrumental piece. The song is  medium tempo with a casual piano accompaniment which is cheerful and jittery in style, along with violent sounds of a crash, crushing tones, metal clanging and rubber twisting sounds. The song is cheerful and at the same time has violent tones of injury and accident superimposed in it. The song is a background effect for an animated show which is violent in nature.",The song is an exeprimental vocal piece. It countains a loud choice which creates a morphing soundscape by humming various intersecting melodic lines rapid-fire pace. IThe song is cheerful and at the same time has violent tones of injury and accident superimposed in it. The song is a background effect for an animated show which is violent in nature.,"The song is an instrumental piece. The song is medium tempo with a casual piano accompaniment which is cheerful and jittery in style, along with violent sounds of a crash, crushing tones, metal clanging and rubber twisting sounds. The song is cheerful and at the same time has violent tones of injury and accident superimposed in it. The song is a background children's show that creates positive memories.","The song is an instrumental piece. The song is medium tempo with a casual piano accompaniment which is cheerful and jittery in style, along with violent sounds of a crash, crushing tones, metal clanging and rubber twisting sounds. The song is ambient and soothing. The song is a background effect for an animated show which is violent in nature.",None,None
44,This folk song features the main melody played on the clarinet. This is accompanied by percussion played by hand. The tambourine is playing on every count. The bass plays with a groovy feel. The bass plays notes continuously at every count. The mood of this song is upbeat and happy. There are no voices in this song. This song can be played at a celebration party.,"This composition features the main melody played on an electric guitar, a triangle chiming in a syncopated rrhythm, and a bass playing long sustained notes throughout the piece. The mood of this song is upbeat and happy. There is a loud choir in this song. This song can be played at a celebration party.",This folk song features the main melody played on the clarinet. This is accompanied by percussion played by hand. The tambourine is playing on every count. The bass plays with a groovy feel. The bass plays notes continuously at every count.  The mood of this song is thoughtful and sad. This song can be played at a memorial ceremony.,"This composition feels reflective and somber, featuring the main melody played on the clarinet, percussion played by hand, tambourine on every count, bass with a groovy feel where the bass plays notes continuously at every count, and no voices in the song.",None,None
45,Two banjo players trade solos in this instrumental song. The song is medium tempo with banjos playing in a call and response manner and no other instrumentation. The song is energetic and has a middle eastern classical music vibe. The audio quality is average and recorded at Joe.,"This strange piece baffles the imagination at a chaotic pace that whirls incessantly, with surreal synthesizers conversing with each other in a cascading echo and unrivaled rhythms swirling all around. The audio quality is average and recorded at Joe.",None,Two banjo players trade solos in this instrumental song. The song is medium tempo with banjos playing in a call and response manner and no other instrumentation. The song is hypnotic and has a ethereal folk song effect. The audio quality is average and recorded at Joe,Two banjo players trade solos in this instrumental song. The song is medium tempo with banjos playing in a call and response manner and no other instrumentation. The song is energetic and has a middle eastern classical music vibe. The audio quality is really bad and was seemingly recorded in the field.,None
46,"This is a live performance of what sounds like a Middle Eastern. The female singer has a calm and soothing voice which she uses to sing vocables - or open mouthed humming. There are percussive chimes, and an acoustic guitar arpeggio which adds to the calm and soothing feel of the song.",This is a live performance of what sounds like a Middle Eastern. The male singer has a raspy and angry voice which he uses to chant in a low undertone. There is a loud string instrument and background percussive chanting.,None,"This is a live performance of what sounds like a Middle Eastern. The female singer has a calm and soothing voice which she uses to sing vocables - or open mouthed humming. There are percussive chimes, and an acoustic guitar arpeggio which adds to the energizing and epic feel of the song.","This is a live performance of what sounds like a celtic folk song. The female singer has a calm and soothing voice which she uses to sing vocables - or open mouthed humming. There are percussive chimes, and an acoustic guitar arpeggio which adds to the calm and soothing feel of the song.",None
47,This is a live performance featuring bagpipes and a marching percussion section. The bagpipes are characteristic of Scottish music and the motif they play in unison is uplifting.,The recording captures an intimate acoustic session with a haunting theremin sound and a rhythmic section of soft oceanic drum loops.,None,None,None,None
48,"The low quality recording features a drum solo that consists of punchy snare hits and occasional snare roll, punchy kick and shimmering hi-hats. It sounds energetic and the recording is in mono and noisy.","The low quality recording features a drum solo that consists of a violin solo with delicate brush strokes, alongside a flowing tom-tom pattern, gentle upright bass thuds. It sounds energetic and the recording is in mono and noisy.",None,"The low quality recording features a drum solo that consists of punchy snare hits and occasional snare roll, punchy kick and shimmering hi-hats. It sounds calming and the recording is in mono and noisy","The high quality recording features a drum solo that consists of punchy snare hits and occasional snare roll, punchy kick and shimmering hi-hats. It sounds energetic and the recording is in stereo and clean.",None
49,This is the live performance of a jazz music piece. There is an organ playing the chords in the background. There is a complex and improvised saxophone solo in the lead. The acoustic drums are playing a mellow jazz beat. The atmosphere is rather tranquil. This piece could be playing in the background at a coffee shop or a classy restaurant.,This is the live performance of a jazz music piece. There are prominent ambient drones in the background along with a tight and structured electric guitar solo taking the lead melody while a pulsating techno beat keeps the rhythm. The atmosphere is rather tranquil. This piece could be playing in the background at a coffee shop or a classy restaurant.,TThis is the live performance of a jazz music piece. There is an organ playing the chords in the background. There is a complex and improvised saxophone solo in the lead. The acoustic drums are playing a mellow jazz beat. The atmosphere is rather tranquil. This composition may be playing softly during a high-stakes poker game. ,"This is the live performance of a jazz music piece. There is an organ playing the chords in the background. There is a complex and improvised saxophone solo in the lead. The acoustic drums are playing a mellow jazz beat. The atmosphere is rather tranquil. It feels almost like a suspenseful scene in a noir film, with an EDM genre influence.",This is the live performance of a EDM music piece. There is an organ playing the chords in the background. There is a complex and improvised saxophone solo in the lead. The acoustic drums are playing a mellow jazz beat. The atmosphere is rather tranquil.,None
